"Tanaka 90, Specimen 4"	
20000	
0	0
0.0	3.0987467e-32
0.0	2.2432641e-33
0.0544	2.34509
0.1088	4.68542
0.1632	7.01998
0.2176	9.34844
0.272	11.67048
0.3264	13.98582
0.3808	16.25098
0.4352	16.87044
0.4896	17.0854
0.544	18.17272
0.5984	19.20166
0.6528	20.13967
0.7072	21.37177
0.7616	23.45138
0.816	24.17281
0.8704	23.72478
0.9248	22.58265
0.9792	21.80074
1.0336	22.079
1.088	22.3924
1.1424	22.53441
1.1968	22.7657
1.2512	23.15843
1.3056	23.56944
1.36	23.93628
1.3056	23.34573
1.2512	22.81671
1.1968	22.13085
1.1424	21.43913
1.088	20.75057
1.0336	20.06525
0.9792	19.38324
0.9248	18.70462
0.8704	18.02947
0.816	17.35788
0.7616	16.68993
0.7072	16.02457
0.6528	15.34747
0.5984	14.63937
0.544	13.84943
0.4896	13.00289
0.4352	12.04259
0.3808	10.98321
0.3264	9.75829
0.272	8.39953
0.2176	6.89329
0.1632	5.1291
0.1088	2.96004
0.0544	0.74410276
-2.4158294e-15	-1.44035
-0.0544	-3.5853
-0.1088	-5.7182
-0.1632	-8.0394
-0.2176	-10.36405
-0.272	-12.68194
-0.3264	-14.99301
-0.3808	-15.61036
-0.4352	-15.71487
-0.4896	-17.16288
-0.544	-18.26109
-0.5984	-19.21156
-0.6528	-20.3007
-0.7072	-21.93846
-0.7616	-23.92347
-0.816	-23.80124
-0.8704	-22.7421
-0.9248	-22.37349
-0.9792	-21.70007
-1.0336	-22.07828
-1.088	-22.34464
-1.1424	-22.37409
-1.1968	-22.59755
-1.2512	-22.93753
-1.3056	-23.20319
-1.36	-23.40688
-1.3056	-22.91676
-1.2512	-22.43875
-1.1968	-21.82963
-1.1424	-21.21784
-1.088	-20.60166
-1.0336	-19.98087
-0.9792	-19.34833
-0.9248	-18.70934
-0.8704	-18.06205
-0.816	-17.41103
-0.7616	-16.76326
-0.7072	-16.11231
-0.6528	-15.43482
-0.5984	-14.73212
-0.544	-13.95309
-0.4896	-13.11519
-0.4352	-12.17407
-0.3808	-11.14761
-0.3264	-9.98965
-0.272	-8.70161
-0.2176	-7.29385
-0.1632	-5.74013
-0.1088	-4.00602
-0.0544	-1.82554
7.2474985e-15	0.36199103
0.0544	2.52212
0.1088	4.64847
0.1632	6.53405
0.2176	8.19244
0.272	9.63627
0.3264	10.89102
0.3808	11.97792
0.4352	12.94484
0.4896	13.7944
0.544	14.57871
0.5984	15.28311
0.6528	15.93918
0.7072	16.57506
0.7616	17.20837
0.816	17.83784
0.8704	18.45606
0.9248	19.06417
0.9792	19.66486
1.0336	20.25564
1.088	20.83768
1.1424	21.41461
1.1968	21.9883
1.2512	22.51655
1.3056	22.91304
1.36	23.12769
1.3056	22.69612
1.2512	22.23301
1.1968	21.64569
1.1424	21.05217
1.088	20.4546
1.0336	19.85121
0.9792	19.23714
0.9248	18.61468
0.8704	17.98341
0.816	17.34576
0.7616	16.69905
0.7072	16.04695
0.6528	15.36957
0.5984	14.66315
0.544	13.87818
0.4896	13.03761
0.4352	12.08743
0.3808	11.05477
0.3264	9.91111
0.272	8.59759
0.2176	7.17452
0.1632	5.60362
0.1088	3.82893
0.0544	1.6259
-1.2079273e-14	-0.55968468
-0.0544	-2.71794
-0.1088	-4.8333
-0.1632	-6.68193
-0.2176	-8.33044
-0.272	-9.75396
-0.3264	-10.99576
-0.3808	-12.0695
-0.4352	-13.02694
-0.4896	-13.87033
-0.544	-14.64915
-0.5984	-15.34758
-0.6528	-16.00131
-0.7072	-16.62745
-0.7616	-17.24047
-0.816	-17.84862
-0.8704	-18.44611
-0.9248	-19.03161
-0.9792	-19.60754
-1.0336	-20.17407
-1.088	-20.72841
-1.1424	-21.27943
-1.1968	-21.82442
-1.2512	-22.36131
-1.3056	-22.80961
-1.36	-23.12752
-1.3056	-22.72179
-1.2512	-22.2848
-1.1968	-21.69981
-1.1424	-21.10673
-1.088	-20.50939
-1.0336	-19.90718
-0.9792	-19.2937
-0.9248	-18.67176
-0.8704	-18.04154
-0.816	-17.40487
-0.7616	-16.75812
-0.7072	-16.10748
-0.6528	-15.43057
-0.5984	-14.72827
-0.544	-13.94981
-0.4896	-13.11252
-0.4352	-12.17242
-0.3808	-11.1472
-0.3264	-9.99073
-0.272	-8.70417
-0.2176	-7.29732
-0.1632	-5.7461
-0.1088	-4.016
-0.0544	-1.83601
1.2079262e-14	0.35123628
0.1088	4.63891
0.2176	8.18277
0.3264	10.88521
0.4352	12.95538
0.544	14.58148
0.6528	15.9381
0.7616	17.18121
0.8704	18.38863
0.9792	19.55274
1.088	20.6763
1.1968	21.77417
1.3056	22.77442
1.4144	23.41184
1.5232	24.27965
1.632	25.19465
1.7408	26.09396
1.8496	26.98778
1.9584	27.87003
2.0672	28.74797
2.176	29.62005
